id,name,description,country,iata,icao,latitude,longitude,elevation
1,Goroka,Goroka,Papua New Guinea,GKA,AYGA,-6.08169,145.39188,5282
2,Madang,Madang,Papua New Guinea,MAG,AYMD,-5.20708,145.7887,20
3,Mount Hagen,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.82679,144.29586,5388
4,Nadzab,Nadzab,Papua New Guinea,LAE,AYNZ,-6.56983,146.72624,239
5,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,POM,AYPY,-9.44338,147.22005,146
6,Wewak Intl,Wewak,Papua New Guinea,WWK,AYWK,-3.58383,143.66919,19
7,Narsarsuaq,Narssarssuaq,Greenland,UAK,BGBW,61.16052,-45.42598,112
8,Nuuk,Godthaab,Greenland,GOH,BGGH,64.19092,-51.67806,283
9,Sondre Stromfjord,Sondrestrom,Greenland,SFJ,BGSF,67.01697,-50.68932,165
10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5312,-68.70316,251
11,Akureyri,Akureyri,Iceland,AEY,BIAR,65.65999,-18.0727,6
12,Egilsstadir,Egilsstadir,Iceland,EGS,BIEG,65.28333,-14.40139,76
13,Hornafjordur,Hofn,Iceland,HFN,BIHN,64.29556,-15.22722,24
14,Husavik,Husavik,Iceland,HZK,BIHU,65.95233,-17.42598,48
15,Isafjordur,Isafjordur,Iceland,IFJ,BIIS,66.05806,-23.13528,8
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985,-22.60556,171
17,Patreksfjordur,Patreksfjordur,Iceland,PFJ,BIPA,65.55583,-23.965,11
18,Reykjavik,Reykjavik,Iceland,RKV,BIRK,64.13,-21.94056,48
19,Siglufjordur,Siglufjordur,Iceland,SIJ,BISI,66.13333,-18.91667,10
20,Vestmannaeyjar,Vestmannaeyjar,Iceland,VEY,BIVM,63.4243,-20.27888,326
21,Sault Ste Marie,Sault Sainte Marie,Canada,YAM,CYAM,46.485,-84.50944,630
22,Winnipeg St Andrews,Winnipeg,Canada,YAV,CYAV,50.05639,-97.0325,760
23,Shearwater,Halifax,Canada,YAW,CYAW,44.63972,-63.49944,167
24,St Anthony,St. Anthony,Canada,YAY,CYAY,51.39194,-56.08306,108
25,Tofino,Tofino,Canada,YAZ,CYAZ,49.08222,-125.7725,80
26,Kugaaruk,Pelly Bay,Canada,YBB,CYBB,68.53444,-89.80806,56
27,Baie Comeau,Baie Comeau,Canada,YBC,CYBC,49.1325,-68.20444,71
28,Bagotville,Bagotville,Canada,YBG,CYBG,48.33056,-70.99639,522
29,Baker Lake,Baker Lake,Canada,YBK,CYBK,64.29889,-96.07778,59
30,Campbell River,Campbell River,Canada,YBL,CYBL,49.95083,-125.27083,346
31,Brandon Muni,Brandon,Canada,YBR,CYBR,49.91,-99.95194,1343
32,Cambridge Bay,Cambridge Bay,Canada,YCB,CYCB,69.10806,-105.13833,90
33,Nanaimo,Nanaimo,Canada,YCD,CYCD,49.05233,-123.87017,93
34,Castlegar,Castlegar,Canada,YCG,CYCG,49.29639,-117.6325,1624
35,Miramichi,Chatham,Canada,YCH,CYCH,47.00778,-65.44917,108
36,Charlo,Charlo,Canada,YCL,CYCL,47.99083,-66.33028,132
37,Kugluktuk,Coppermine,Canada,YCO,CYCO,67.81667,-115.14389,74
38,Coronation,Coronation,Canada,YCT,CYCT,52.075,-111.44528,2595
